date,weight
2024-05-16T05:38:19,185.2
2024-05-16T05:38:28,185.2
2024-05-17T05:45:40,182.8
2024-05-17T22:10:21,184.8
2024-05-18T06:46:26,183.0
2024-05-19T06:44:57,185.8
2024-05-21T05:23:17,184.4
2024-05-22T05:31:15,186.0
2024-05-22T05:35:31,185.4
2024-05-22T05:35:45,185.4
2024-05-23T05:15:32,185.4
2024-05-24T04:25:06,187.2
2024-05-24T17:27:30,183.4
2024-05-24T20:17:44,182.0
2024-05-25T05:24:54,180.4
2024-05-25T05:26:28,180.8
2024-05-25T05:26:49,180.4
2024-05-25T05:27:12,180.4
2024-05-25T05:29:17,180.4
2024-05-25T05:29:31,180.4
2024-05-25T05:40:25,180.2
2024-05-25T05:40:50,180.2
2024-05-25T05:44:21,180.0
2024-05-25T05:45:15,180.0
2024-05-25T05:58:15,180.2
2024-05-25T05:58:55,180.2
2024-05-26T06:29:15,185.0
2024-05-27T06:49:29,185.0
2024-05-28T06:17:30,184.6
2024-05-29T04:57:56,183.0
2024-05-30T05:18:25,184.4
2024-05-31T05:06:59,183.8
2024-06-01T06:54:58,183.6
2024-06-03T05:48:36,184.4
2024-06-04T04:59:20,183.6
2024-06-05T05:16:45,184.0
2024-06-06T05:10:31,183.8
2024-06-06T05:18:49,183.2
2024-06-07T05:10:08,181.6
2024-06-07T05:10:28,181.6
2024-06-08T07:33:11,182.2
2024-06-09T06:38:47,183.6
2024-06-09T06:44:04,183.4
2024-06-10T05:22:00,182.6
2024-06-11T05:47:58,181.8
2024-06-12T05:27:58,181.8
2024-06-13T06:17:04,181.4
2024-06-14T04:54:12,181.4
2024-06-15T05:29:41,180.6
2024-06-16T07:01:31,182.4
2024-06-17T05:22:37,181.8
2024-06-18T05:35:01,181.4
2024-06-19T07:16:12,181.2
2024-06-20T06:36:17,181.0
2024-06-21T06:05:09,180.8
2024-06-22T06:20:18,182.0
2024-06-23T07:34:41,184.6
2024-06-24T05:02:21,182.8
2024-06-25T05:31:51,182.4
2024-06-26T05:07:52,181.4
2024-06-27T05:22:02,180.6
2024-06-28T04:50:52,179.8
2024-06-28T04:51:14,179.8
2024-06-29T06:05:36,181.4
2024-07-07T06:45:15,179.8
2024-07-07T06:45:28,179.8
2024-07-08T05:59:11,181.4
2024-07-09T06:02:14,180.2
2024-07-11T06:11:00,180.8
2024-07-12T05:43:51,179.8
2024-07-13T06:32:10,178.8
2024-07-15T05:23:53,179.6
2024-07-16T06:28:19,178.6
2024-07-17T06:42:07,177.2
2024-07-18T06:29:37,179.2
2024-07-19T06:26:13,177.6
2024-07-20T07:10:46,178.4
2024-07-20T08:56:06,178.0
2024-07-21T07:18:25,179.0
2024-07-22T05:37:12,179.8
2024-07-23T06:08:25,179.2
2024-07-24T06:09:46,179.2
2024-07-25T06:33:09,180.6
2024-07-26T04:39:16,174.8
2024-07-29T04:54:40,181.6
2024-07-30T05:21:28,179.6
2024-08-05T06:33:41,179.8
2024-08-08T05:50:43,180.2
2024-09-01T11:14:22,182.8
2024-09-04T07:38:19,183.2
2024-09-06T08:22:18,183.6
2024-09-09T07:14:19,182.8
2024-09-10T06:39:43,183.0
2024-09-12T07:28:05,184.2
2024-09-13T06:48:49,183.6
2024-09-15T06:31:29,183.6
2024-09-18T06:58:00,182.8
2024-09-18T10:11:00,183.2
2024-09-29T06:14:50,183.6
2024-10-09T10:39:32,182.0
2024-10-28T07:53:59,184.8
2024-10-29T07:54:51,184.6
2024-10-30T09:55:51,184.4
2024-11-10T08:42:30,182.2
2024-11-10T08:52:59,182.4
2024-11-12T07:30:42,181.6
2024-11-13T09:01:48,182.4
2024-11-13T09:01:57,182.4
2024-11-15T07:46:46,182.8
2024-11-19T08:04:04,182.4
2024-11-24T09:29:04,180.2
2024-11-26T07:52:25,179.4
2024-12-04T08:01:12,179.2
2024-12-09T07:31:36,182.0
2024-12-20T08:31:55,179.0
2024-12-23T10:16:20,180.8
2025-01-05T08:02:34,182.2
2025-01-16T07:06:07,183.2
2025-01-29T07:52:45,189.6
2025-01-29T17:42:03,187.6
2025-02-23T08:56:25,189.0
2025-03-06T07:56:01,190.2
2025-03-11T08:04:59,190.2
2025-03-18T07:44:23,187.0
2025-03-20T09:09:29,187.0
2025-03-30T09:50:12,187.2
2025-04-18T09:45:26,186.4
2025-05-02T09:29:51,186.2
2025-05-02T09:32:04,186.2
2025-06-02T10:31:48,185.4
2025-07-14T08:19:44,186.8
2025-07-28T07:49:26,189.6
2025-07-29T08:32:59,187.2
2025-08-01T07:31:22,190.6
2025-08-08T09:09:10,190.0
2025-08-09T08:39:31,190.6
2025-08-13T19:34:31,189.6
2025-08-14T09:29:03,189.2
2025-08-15T07:55:56,192.0
2025-08-16T09:57:16,191.8
2025-08-17T08:47:31,190.2
2025-08-18T08:02:24,189.4
2025-08-19T07:49:10,190.4
2025-08-19T07:49:30,190.4
2025-08-20T08:57:30,190.4
2025-08-21T07:49:44,190.0
2025-08-22T09:14:38,188.4
2025-08-23T09:00:10,189.4
2025-08-24T09:46:27,188.0
2025-08-25T07:56:30,190.0
2025-08-26T07:59:23,189.2
2025-08-27T08:03:53,190.2
2025-08-28T07:37:58,189.8
2025-08-29T07:25:11,189.2
2025-08-30T09:25:18,188.8
2025-08-31T09:52:14,187.2
2025-08-31T09:59:00,187.0
2025-09-01T09:39:33,188.4
2025-09-02T07:37:41,190.0
2025-09-04T08:01:01,189.0
2025-09-04T08:01:34,189.0
