date,body_fat_pct,athlete_mode
2023-10-14T04:16:05,15.9,1
2023-10-13T04:04:53,15.8,1
2023-10-13T04:04:13,15.8,1
2023-10-13T03:51:02,15.8,1
2023-10-12T03:42:22,15.8,1
2023-10-11T04:11:31,15.9,1
2023-10-10T03:22:53,16.0,1
2023-10-09T03:44:35,16.1,1
2023-10-09T03:44:23,16.1,1
2023-10-08T04:10:33,16.0,1
2023-10-07T03:42:55,16.0,1
2023-10-06T04:59:10,15.9,1
2023-10-05T03:16:18,16.0,1
2023-10-04T03:10:12,16.1,1
2023-10-04T03:03:52,16.1,1
2023-10-02T02:28:23,16.2,1
2023-10-01T15:13:21,16.3,1
2023-09-21T04:46:49,16.2,1
2023-09-20T04:22:16,16.2,1
2023-09-18T04:20:19,16.3,1
2023-09-17T06:33:49,16.2,1
2023-09-15T07:16:26,16.1,1
2023-09-14T05:59:07,16.1,1
2023-09-13T04:56:43,15.9,1
2023-09-12T04:12:13,16.1,1
2023-09-11T08:41:53,16.4,1
2023-09-11T08:41:43,16.4,1
2023-09-10T10:33:12,16.3,1
2021-10-29T11:10:40,14.4,1
2021-07-23T10:08:46,14.5,1
2021-07-23T10:06:48,14.5,1
2021-07-10T07:30:59,14.6,1
2021-01-31T11:04:19,14.1,1
2021-01-10T09:24:47,14.7,1
2021-01-10T09:24:21,14.7,1
2020-12-24T09:58:00,14.7,1
2020-12-15T09:44:36,14.5,1
2020-12-11T10:50:35,14.5,1
2020-12-09T09:38:38,14.6,1
2020-12-03T08:01:35,14.5,1
2020-11-27T15:46:12,14.8,1
2020-11-22T10:07:56,15.0,1
2020-11-22T09:58:13,15.0,1
